id,name,team,score,position,price,status
1,Fabio Vieira,Arsenal,24,MID,55,a
2,G.Jesus,Arsenal,85,ATT,70,a
3,Gabriel,Arsenal,149,DEF,60,a
4,Havertz,Arsenal,180,ATT,80,a
5,Hein,Arsenal,0,GK,40,a
6,J.Timber,Arsenal,0,DEF,55,a
7,Jorginho,Arsenal,44,MID,50,a
8,Kiwior,Arsenal,67,DEF,50,a
9,Martinelli,Arsenal,118,MID,70,a
10,Nelson,Arsenal,16,MID,50,a
11,Nketiah,Arsenal,71,ATT,60,a
12,Nwaneri,Arsenal,1,MID,45,a
13,Odegaard,Arsenal,186,MID,85,a
14,Ramsdale,Arsenal,20,GK,45,a
15,Raya,Arsenal,135,GK,55,a
16,Rice,Arsenal,165,MID,65,a
17,Saka,Arsenal,226,MID,100,a
18,Saliba,Arsenal,164,DEF,60,a
20,Thomas,Arsenal,24,MID,50,a
21,Tierney,Arsenal,0,DEF,45,a
22,Tomiyasu,Arsenal,70,DEF,50,a
23,Trossard,Arsenal,138,MID,70,a
24,White,Arsenal,182,DEF,65,a
25,Zinchenko,Arsenal,104,DEF,50,a
578,Calafiori,Arsenal,0,DEF,60,a
26,Alex Moreno,Aston Villa,49,DEF,45,a
27,Archer,Aston Villa,82,ATT,50,a
28,Bailey,Aston Villa,148,MID,65,a
29,Barkley,Aston Villa,101,MID,55,a
30,Barrenechea,Aston Villa,0,MID,50,a
31,Buendia,Aston Villa,0,MID,55,a
32,Cash,Aston Villa,64,DEF,45,a
33,Dendoncker,Aston Villa,20,MID,45,a
34,Diaby,Aston Villa,142,MID,65,u
35,Diego Carlos,Aston Villa,55,DEF,45,a
36,Digne,Aston Villa,85,DEF,45,a
37,Dobbin,Aston Villa,18,MID,50,a
38,Duran,Aston Villa,50,ATT,60,a
39,Gauci,Aston Villa,0,GK,40,a
40,Hause,Aston Villa,0,DEF,40,a
41,Iling Jr,Aston Villa,0,MID,55,a
42,Kamara,Aston Villa,40,MID,50,i
43,Kesler-Hayden,Aston Villa,3,DEF,40,a
44,Konsa,Aston Villa,91,DEF,45,a
45,Maatsen,Aston Villa,11,DEF,50,a
46,Marschall,Aston Villa,0,GK,40,u
47,Martinez,Aston Villa,115,GK,50,a
48,McGinn,Aston Villa,119,MID,55,a
49,Mings,Aston Villa,0,DEF,45,i
50,Nedeljkovic,Aston Villa,0,DEF,40,a
51,Olsen,Aston Villa,17,GK,45,a
52,Pau,Aston Villa,85,DEF,45,a
53,Ramsey,Aston Villa,29,MID,55,a
54,Rogers,Aston Villa,35,MID,50,a
55,Sinisalo,Aston Villa,0,GK,40,u
56,Sousa,Aston Villa,0,DEF,40,a
57,Tielemans,Aston Villa,77,MID,55,a
58,Watkins,Aston Villa,228,ATT,90,a
233,Onana,Aston Villa,66,MID,50,a
569,Jaden,Aston Villa,0,MID,55,a
59,Aarons,Bournemouth,28,DEF,45,a
60,Adams,Bournemouth,5,MID,50,i
61,Anthony,Bournemouth,3,MID,45,a
62,Brooks,Bournemouth,23,MID,50,a
63,Christie,Bournemouth,90,MID,50,a
64,Cook,Bournemouth,77,MID,50,a
65,Enes Unal,Bournemouth,40,ATT,55,a
66,Faivre,Bournemouth,4,MID,50,a
67,H.Traore,Bournemouth,3,MID,45,a
68,Hill,Bournemouth,5,DEF,40,a
69,Jebbison,Bournemouth,1,ATT,45,a
70,Kerkez,Bournemouth,59,DEF,45,a
71,Kluivert,Bournemouth,100,MID,55,a
72,Mepham,Bournemouth,16,DEF,45,a
73,Neto,Bournemouth,110,GK,45,a
74,O.Dango,Bournemouth,56,MID,50,a
75,Paulsen,Bournemouth,0,GK,40,a
76,Philip,Bournemouth,60,MID,50,a
77,Scott,Bournemouth,41,MID,50,a
78,Semenyo,Bournemouth,107,MID,55,a
79,Senesi,Bournemouth,102,DEF,50,a
80,Sinisterra,Bournemouth,43,MID,50,a
81,Smith,Bournemouth,80,DEF,45,a
82,Solanke,Bournemouth,175,ATT,75,a
83,Tavernier,Bournemouth,89,MID,55,a
84,Travers,Bournemouth,19,GK,45,a
85,Zabarnyi,Bournemouth,84,DEF,45,a
580,Huijsen,Bournemouth,0,DEF,45,a
86,Ajer,Brentford,68,DEF,45,a
87,Brierley,Brentford,0,MID,45,a
88,Collins,Brentford,84,DEF,45,a
89,Damsgaard,Brentford,45,MID,50,a
90,Dasilva,Brentford,3,MID,50,a
91,Flekken,Brentford,119,GK,45,a
92,Henry,Brentford,13,DEF,45,a
93,Hickey,Brentford,17,DEF,45,a
94,Janelt,Brentford,93,MID,50,a
95,Jensen,Brentford,98,MID,55,a
96,Ji-soo,Brentford,0,DEF,40,a
97,Konak,Brentford,0,MID,45,a
98,Lewis-Potter,Brentford,73,MID,50,a
99,Mbeumo,Brentford,127,MID,70,a
100,Mee,Brentford,39,DEF,45,a
101,Norgaard,Brentford,74,MID,50,a
102,Onyeka,Brentford,39,MID,50,a
103,Peart-Harris,Brentford,3,MID,45,a
104,Pinnock,Brentford,77,DEF,45,a
105,Roerslev,Brentford,75,DEF,45,a
106,Schade,Brentford,33,MID,55,a
107,Thiago,Brentford,0,ATT,60,i
108,Toney,Brentford,57,ATT,75,a
109,Valdimarsson,Brentford,0,GK,40,a
110,Wissa,Brentford,131,ATT,60,a
111,Yarmoliuk,Brentford,33,MID,45,a
112,Zanka,Brentford,29,DEF,45,a
113,Adingra,Brighton,97,MID,55,a
114,Baker-Boaitey,Brighton,4,MID,45,a
115,Baleba,Brighton,34,MID,50,a
116,Barco,Brighton,5,DEF,40,a
117,Buonanotte,Brighton,57,MID,50,a
118,Cozier-Duberry,Brighton,0,MID,45,a
119,Dahoud,Brighton,14,MID,50,a
120,Dunk,Brighton,89,DEF,45,a
121,Enciso,Brighton,20,MID,55,a
122,Estupinan,Brighton,57,DEF,50,i
123,Ferguson,Brighton,69,ATT,55,i
124,Gilmour,Brighton,61,MID,50,a
125,Gross,Brighton,153,MID,65,u
126,Hinshelwood,Brighton,42,MID,50,a
127,I.Osman,Brighton,0,MID,50,a
128,Igor,Brighton,37,DEF,45,a
129,Joao Pedro,Brighton,104,ATT,55,a
130,Kozlowski,Brighton,0,MID,45,u
131,Lamptey,Brighton,31,DEF,45,a
132,March,Brighton,39,MID,65,i
133,Mazilu,Brighton,0,MID,45,a
134,Milner,Brighton,28,MID,50,a
135,Minteh,Brighton,0,MID,55,a
136,Mitoma,Brighton,74,MID,65,a
137,Moder,Brighton,21,MID,45,a
138,O'Mahony,Brighton,2,ATT,45,a
139,Offiah,Brighton,4,DEF,40,a
140,Peupion,Brighton,0,MID,45,a
141,Sarmiento,Brighton,0,MID,50,a
142,Steele,Brighton,42,GK,45,a
143,Undav,Brighton,0,ATT,55,a
144,Van Hecke,Brighton,61,DEF,45,a
145,Veltman,Brighton,49,DEF,45,a
146,Verbruggen,Brighton,68,GK,45,a
147,Webster,Brighton,26,DEF,45,a
148,Welbeck,Brighton,79,ATT,55,a
149,Wieffer,Brighton,0,MID,50,a
150,Andrey Santos,Chelsea,1,MID,45,u
151,Angelo,Chelsea,0,MID,45,a
152,Arrizabalaga,Chelsea,0,GK,45,a
153,B.Badiashile,Chelsea,35,DEF,45,a
154,Bergstrom,Chelsea,0,GK,40,a
155,Bettinelli,Chelsea,-1,GK,40,a
156,Broja,Chelsea,35,ATT,55,a
157,Caicedo,Chelsea,84,MID,50,a
158,Casadei,Chelsea,11,MID,45,a
159,Chalobah,Chelsea,39,DEF,45,a
160,Chilwell,Chelsea,24,DEF,50,a
161,Chukwuemeka,Chelsea,16,MID,50,a
162,Colwill,Chelsea,65,DEF,45,a
163,Cucurella,Chelsea,44,DEF,50,a
164,D.D.Fofana,Chelsea,50,ATT,55,a
165,Deivid,Chelsea,2,ATT,50,a
166,Dewsbury-Hall,Chelsea,0,MID,60,a
167,Disasi,Chelsea,71,DEF,45,a
168,Enzo,Chelsea,77,MID,50,a
169,Gallagher,Chelsea,129,MID,60,a
170,Gilchrist,Chelsea,20,DEF,40,a
171,Gusto,Chelsea,74,DEF,50,a
172,James,Chelsea,11,DEF,50,s
173,Kellyman,Chelsea,2,MID,45,a
174,Lavia,Chelsea,1,MID,45,a
175,Lukaku,Chelsea,0,ATT,65,a
176,M.Sarr,Chelsea,0,DEF,45,u
177,Madueke,Chelsea,76,MID,65,a
178,Marc Guiu,Chelsea,0,ATT,50,a
179,Mudryk,Chelsea,94,MID,65,a
180,N.Jackson,Chelsea,142,ATT,75,a
181,Nkunku,Chelsea,29,MID,65,a
182,Palmer,Chelsea,244,MID,105,a
183,Petrovic,Chelsea,71,GK,45,a
184,Renato Veiga,Chelsea,0,MID,45,a
185,Sanchez,Chelsea,59,GK,45,a
186,Sterling,Chelsea,123,MID,70,a
187,Tosin,Chelsea,66,DEF,45,a
